attraction,Local Repeat Visitor,Day-Tripper,Weekender,Beyond
CT Science Center,0.4,0.6,0.0,0.0
Mark Twain House,0.43333333333333335,0.5666666666666667,0.0,0.0
Wadsworth Atheneum,0.43333333333333335,0.5666666666666667,0.0,0.0
New Britain Museum,0.43333333333333335,0.5666666666666667,0.0,0.0
Mystic Aquarium,0.16666666666666666,0.8,0.03333333333333333,0.0
Pequot Museum,0.2,0.8,0.0,0.0
Florence Griswold Museum,0.3333333333333333,0.6666666666666666,0.0,0.0
Nathan Hale Homestead,0.26666666666666666,0.7333333333333333,0.0,0.0
Maritime Aquarium,0.23333333333333334,0.7666666666666667,0.0,0.0
Kent Falls State Park,0.1,0.9,0.0,0.0
