attraction_key,display_name,unique_towns,unique_count
florence_griswold,Florence Griswold Museum,"Clinton, Deep River, East Haddam, Essex, Haddam, Killingworth, Old Lyme, Old Saybrook, Westbrook",9
maritime_aquarium_norwalk,Maritime Aquarium,"Darien, Easton, Greenwich, Monroe, Norwalk, Orange, Redding, Ridgefield, Weston",9
nathan_hale_homestead,Nathan Hale Homestead,"Andover, Columbia, Coventry, East Hampton, Ellington, Manchester, Marlborough, Somers",8
kent_falls,Kent Falls State Park,"Brookfield, Goshen, New Milford, Warren",4
nbmaa,New Britain Museum,"New Britain, Portland",2
mark_twain_house,Mark Twain House,Bloomfield,1
ct_science_center,CT Science Center,(none),0
wadsworth_atheneum,Wadsworth Atheneum,(none),0
mystic_aquarium,Mystic Aquarium,(none),0
pequot_museum,Pequot Museum,(none),0
