rank,town,arbitrage_score,drive_time_min,drive_band,tourism_behavior,weighted_flow,median_household_income,archetype_label
1,West Hartford,1.0,11.3,Day-Tripper,Local Repeat Visitor,6505.6,105230.0,Affluent Suburban
2,Glastonbury,0.9298,13.1,Day-Tripper,Local Repeat Visitor,3055.2,120605.0,Affluent Suburban
3,South Windsor,0.8187,13.9,Day-Tripper,Local Repeat Visitor,2485.7,119972.0,Affluent Suburban
4,Wethersfield,0.5298,13.0,Day-Tripper,Local Repeat Visitor,3062.8,90881.0,Affluent Suburban
5,Avon,0.4922,19.0,Day-Tripper,Local Repeat Visitor,1446.7,123077.0,Rural / Small Town
6,Simsbury,0.4789,20.3,Day-Tripper,Day-Tripper,1932.8,128829.0,Affluent Suburban
7,Farmington,0.3933,17.4,Day-Tripper,Local Repeat Visitor,1775.2,97262.0,Affluent Suburban
8,Rocky Hill,0.3652,13.9,Day-Tripper,Local Repeat Visitor,1965.9,85123.0,Affluent Suburban
9,Windsor,0.3136,18.9,Day-Tripper,Local Repeat Visitor,2978.5,92079.0,Affluent Suburban
10,Berlin,0.3114,20.8,Day-Tripper,Day-Tripper,1219.5,102075.0,Affluent Suburban
11,Burlington,0.2481,27.0,Day-Tripper,Day-Tripper,561.9,129783.0,Affluent Suburban
12,Bolton,0.2431,22.3,Day-Tripper,Day-Tripper,354.5,112622.0,Affluent Suburban
13,East Granby,0.2428,22.6,Day-Tripper,Day-Tripper,398.3,107566.0,Affluent Suburban
14,Newington,0.214,18.6,Day-Tripper,Local Repeat Visitor,2627.5,82721.0,Affluent Suburban
15,Cromwell,0.2122,20.3,Day-Tripper,Day-Tripper,1061.4,89562.0,Affluent Suburban
