rank,town,arbitrage_score,drive_time_min,drive_band,tourism_behavior,weighted_flow,median_household_income,archetype_label
1,West Hartford,1.0,6.5,Day-Tripper,Local Repeat Visitor,6505.6,105230.0,Affluent Suburban
2,Glastonbury,0.312,15.6,Day-Tripper,Local Repeat Visitor,3055.2,120605.0,Affluent Suburban
3,South Windsor,0.2811,16.3,Day-Tripper,Local Repeat Visitor,2485.7,119972.0,Affluent Suburban
4,Avon,0.2779,16.0,Day-Tripper,Local Repeat Visitor,1446.7,123077.0,Rural / Small Town
5,Simsbury,0.2502,18.0,Day-Tripper,Local Repeat Visitor,1932.8,128829.0,Affluent Suburban
6,Farmington,0.228,14.4,Day-Tripper,Local Repeat Visitor,1775.2,97262.0,Affluent Suburban
7,Wethersfield,0.2113,13.8,Day-Tripper,Local Repeat Visitor,3062.8,90881.0,Affluent Suburban
8,Rocky Hill,0.1495,14.5,Day-Tripper,Local Repeat Visitor,1965.9,85123.0,Affluent Suburban
9,Berlin,0.1474,19.7,Day-Tripper,Local Repeat Visitor,1219.5,102075.0,Affluent Suburban
10,Windsor,0.1315,19.4,Day-Tripper,Local Repeat Visitor,2978.5,92079.0,Affluent Suburban
11,Burlington,0.13,23.9,Day-Tripper,Day-Tripper,561.9,129783.0,Affluent Suburban
12,Bloomfield,0.1129,14.2,Day-Tripper,Local Repeat Visitor,2327.5,79134.0,Affluent Suburban
13,East Granby,0.1118,21.8,Day-Tripper,Day-Tripper,398.3,107566.0,Affluent Suburban
14,Newington,0.1088,16.8,Day-Tripper,Local Repeat Visitor,2627.5,82721.0,Affluent Suburban
15,Southington,0.0932,28.1,Day-Tripper,Day-Tripper,2008.3,101098.0,Affluent Suburban
