rank,town,arbitrage_score,drive_time_min,drive_band,tourism_behavior,weighted_flow,median_household_income,archetype_label
1,Berlin,1.0,9.7,Day-Tripper,Local Repeat Visitor,970.6,102075.0,Affluent Suburban
2,West Hartford,0.7893,13.3,Day-Tripper,Local Repeat Visitor,5192.0,105230.0,Affluent Suburban
3,Avon,0.5408,18.1,Day-Tripper,Local Repeat Visitor,1154.2,123077.0,Rural / Small Town
4,Newington,0.5052,10.6,Day-Tripper,Local Repeat Visitor,2091.8,82721.0,Affluent Suburban
5,Farmington,0.4443,16.2,Day-Tripper,Local Repeat Visitor,1415.6000000000001,97262.0,Affluent Suburban
6,Glastonbury,0.4364,21.8,Day-Tripper,Day-Tripper,2434.0000000000005,120605.0,Affluent Suburban
7,Burlington,0.4243,19.2,Day-Tripper,Local Repeat Visitor,446.6,129783.0,Affluent Suburban
8,Southington,0.3816,19.2,Day-Tripper,Local Repeat Visitor,1592.6000000000001,101098.0,Affluent Suburban
9,Cromwell,0.3792,14.0,Day-Tripper,Local Repeat Visitor,839.6,89562.0,Affluent Suburban
10,Cheshire,0.3434,23.2,Day-Tripper,Day-Tripper,696.4000000000001,122477.0,Affluent Suburban
11,Simsbury,0.3129,27.1,Day-Tripper,Day-Tripper,1541.2,128829.0,Affluent Suburban
12,Wethersfield,0.284,19.8,Day-Tripper,Local Repeat Visitor,2442.7999999999997,90881.0,Affluent Suburban
13,Portland,0.2581,20.6,Day-Tripper,Day-Tripper,462.20000000000005,97754.0,Affluent Suburban
14,New Britain,0.257,2.4,Day-Tripper,Local Repeat Visitor,2644.4000000000005,47393.0,Mixed-Income Transitional
15,South Windsor,0.2405,31.6,Day-Tripper,Day-Tripper,1984.6000000000001,119972.0,Affluent Suburban
