rank,town,arbitrage_score,drive_time_min,drive_band,tourism_behavior,weighted_flow,median_household_income,archetype_label
1,West Hartford,1.0,10.7,Day-Tripper,Local Repeat Visitor,6505.6,105230.0,Affluent Suburban
2,Glastonbury,0.8469,13.2,Day-Tripper,Local Repeat Visitor,3055.2,120605.0,Affluent Suburban
3,South Windsor,0.7153,14.4,Day-Tripper,Local Repeat Visitor,2485.7,119972.0,Affluent Suburban
4,Wethersfield,0.5178,12.5,Day-Tripper,Local Repeat Visitor,3062.8,90881.0,Affluent Suburban
5,Avon,0.4645,18.7,Day-Tripper,Local Repeat Visitor,1446.7,123077.0,Rural / Small Town
6,Simsbury,0.4446,20.2,Day-Tripper,Day-Tripper,1932.8,128829.0,Affluent Suburban
7,Farmington,0.3786,16.9,Day-Tripper,Local Repeat Visitor,1775.2,97262.0,Affluent Suburban
8,Rocky Hill,0.3439,13.7,Day-Tripper,Local Repeat Visitor,1965.9,85123.0,Affluent Suburban
9,Berlin,0.2976,20.3,Day-Tripper,Day-Tripper,1219.5,102075.0,Affluent Suburban
10,Windsor,0.28,19.3,Day-Tripper,Local Repeat Visitor,2978.5,92079.0,Affluent Suburban
11,Burlington,0.2338,26.6,Day-Tripper,Day-Tripper,561.9,129783.0,Affluent Suburban
12,East Granby,0.2208,22.8,Day-Tripper,Day-Tripper,398.3,107566.0,Affluent Suburban
13,Bolton,0.2181,22.7,Day-Tripper,Day-Tripper,354.5,112622.0,Affluent Suburban
14,Newington,0.2089,17.9,Day-Tripper,Local Repeat Visitor,2627.5,82721.0,Affluent Suburban
15,Cromwell,0.2,20.0,Day-Tripper,Local Repeat Visitor,1061.4,89562.0,Affluent Suburban
